Constituency_Number,Constituency_Name,District,Province
1010001,KATUBA,CHIBOMBO,CENTRAL
1050084,MWEMBEZHI,SHIBUYUNJI,CENTRAL
1010015,SERENJE,SERENJE,CENTRAL
1010013,LUFUBU,NGABWE,CENTRAL
1010012,NANGOMA,MUMBWA,CENTRAL
1010011,MUMBWA,MUMBWA,CENTRAL
1010010,MKUSHI NORTH,MKUSHI,CENTRAL
1010009,MKUSHI SOUTH,LUANO,CENTRAL
1010014,MUCHINGA,SERENJE,CENTRAL
1010007,KABWE CENTRAL,KABWE,CENTRAL
1010006,BWACHA,KABWE,CENTRAL
1010005,ITEZH-ITEZHI,ITEZHI-TEZHI,CENTRAL
1010004,CHITAMBO,CHITAMBO,CENTRAL
1010003,CHISAMBA,CHISAMBA,CENTRAL
1010002,KEEMBE,CHIBOMBO,CENTRAL
1010008,KAPIRI MPOSHI,KAPIRI MPOSHI,CENTRAL
1020029,MASAITI,MASAITI,COPPERBELT
1020030,MPONGWE,MPONGWE,COPPERBELT
1020031,KANKOYO,MUFULIRA,COPPERBELT
1020032,KANTANSHI,MUFULIRA,COPPERBELT
1020036,KABUSHI,NDOLA,COPPERBELT
1020034,BWANA MKUBWA,NDOLA,COPPERBELT
1020035,CHIFUBU,NDOLA,COPPERBELT
1020037,NDOLA CENTRAL,NDOLA,COPPERBELT
1020028,KAFULAFUTA,MASAITI,COPPERBELT
1020033,MUFULIRA,MUFULIRA,COPPERBELT
1020027,LUFWANYAMA,LUFWANYAMA,COPPERBELT
1020023,NKANA,KITWE,COPPERBELT
1020025,LUANSHYA,LUANSHYA,COPPERBELT
1020026,ROAN,LUANSHYA,COPPERBELT
1020017,CHINGOLA,CHINGOLA,COPPERBELT
1020018,NCHANGA,CHINGOLA,COPPERBELT
1020019,KALULUSHI,KALULUSHI,COPPERBELT
1020016,CHILILABOMBWE,CHILILABOMBWE,COPPERBELT
1020021,KAMFINSA,KITWE,COPPERBELT
1020022,KWACHA,KITWE,COPPERBELT
1020024,WUSAKILE,KITWE,COPPERBELT
1020020,CHIMWEMWE,KITWE,COPPERBELT
1030053,KAPOCHE,SINDA,EASTERN
1030051,MSANZALA,LUSANGAZI,EASTERN
1030046,LUMEZI,LUMEZI,EASTERN
1030041,KASENENGWA,KASENENGWA,EASTERN
1030039,CHIPANGALI,CHIPANGALI,EASTERN
1030045,CHASEFU,CHASEFU,EASTERN
1030055,VUBWI,VUBWI,EASTERN
1030054,SINDA,SINDA,EASTERN
1030052,PETAUKE,PETAUKE,EASTERN
1030038,CHADIZA,CHADIZA,EASTERN
1030049,NYIMBA,NYIMBA,EASTERN
1030048,MALAMBO,MAMBWE,EASTERN
1030047,LUNDAZI,LUNDAZI,EASTERN
1030044,MKAIKA,KATETE,EASTERN
1030043,MILANZI,KATETE,EASTERN
1030042,LUANGENI,CHIPATA,EASTERN
1030040,CHIPATA CENTRAL,CHIPATA,EASTERN
1030050,KAUMBWE,PETAUKE,EASTERN
1040070,CHIFUNABULI,CHIFUNABULI,LUAPULA
1040069,BANGWEULU,SAMFYA,LUAPULA
1040068,NCHELENGE,NCHELENGE,LUAPULA
1040067,MWENSE,MWENSE,LUAPULA
1040066,MAMBILIMA,MWENSE,LUAPULA
1040065,MWANSABOMBWE,MWANSABOMBWE,LUAPULA
1040064,MILENGE,MILENGE,LUAPULA
1040062,BAHATI,MANSA,LUAPULA
1040061,LUAPULA,LUNGA,LUAPULA
1040060,PAMBASHE,KAWAMBWA,LUAPULA
1040059,KAWAMBWA,KAWAMBWA,LUAPULA
1040058,CHIPILI,CHIPILI,LUAPULA
1040057,CHIENGE,CHIENGE,LUAPULA
1040056,CHEMBE,CHEMBE,LUAPULA
1040063,MANSA CENTRAL,MANSA,LUAPULA
1050079,LUSAKA CENTRAL,LUSAKA,LUSAKA
1050083,RUFUNSA,RUFUNSA,LUSAKA
1050082,MUNALI,LUSAKA,LUSAKA
1050081,MATERO,LUSAKA,LUSAKA
1050080,MANDEVU,LUSAKA,LUSAKA
1050078,KANYAMA,LUSAKA,LUSAKA
1050077,KABWATA,LUSAKA,LUSAKA
1050076,CHAWAMA,LUSAKA,LUSAKA
1050075,FEIRA,LUANGWA,LUSAKA
1050074,KAFUE,KAFUE,LUSAKA
1050073,CHONGWE,CHONGWE,LUSAKA
1050072,CHIRUNDU,CHIRUNDU,LUSAKA
1050071,CHILANGA,CHILANGA,LUSAKA
1060091,MFUWE,LAVUSHIMANDA,MUCHINGA
1060090,KANCHIBIYA,KANCHIBIYA,MUCHINGA
1060093,NAKONDE,NAKONDE,MUCHINGA
1060092,MPIKA,MPIKA,MUCHINGA
1060094,SHIWAN'GANDU,SHIWAN'GANDU,MUCHINGA
1060088,ISOKA,ISOKA,MUCHINGA
1060087,CHINSALI,CHINSALI,MUCHINGA
1060086,CHAMA SOUTH,CHAMA,MUCHINGA
1060085,CHAMA NORTH,CHAMA,MUCHINGA
1060089,MAFINGA,MAFINGA,MUCHINGA
1080109,IKELENG'I,IKELENGE,NORTH-WESTERN
1080116,MUSHINDAMO,MUSHINDAMO,NORTH-WESTERN
1080117,KALUMBILA,KALUMBILA,NORTH-WESTERN
1080118,ZAMBEZI EAST,ZAMBEZI,NORTH-WESTERN
1080115,SOLWEZI,SOLWEZI,NORTH-WESTERN
1080114,MWINILUNGA,MWINILUNGA,NORTH-WESTERN
1080113,MUFUMBWE,MUFUMBWE,NORTH-WESTERN
1080112,MANYINGA,MANYINGA,NORTH-WESTERN
1080111,KASEMPA,KASEMPA,NORTH-WESTERN
1080110,KABOMPO,KABOMPO,NORTH-WESTERN
1080108,CHAVUMA,CHAVUMA,NORTH-WESTERN
1080119,ZAMBEZI WEST,ZAMBEZI,NORTH-WESTERN
1070100,LUPOSOSHI,LUPOSOSHI,NORTHERN
1070102,SENGA HILL,SENGA HILL,NORTHERN
